Thunder III                         (1988, Action, Adventure, Drama      Fabrizio De Angelis           Mark Gregory, John Phillip ...]
Mystery Mansion                     (1983, Adventure, Mystery            David E. Jackson              Dal McKennon, Christopher W...]
Lightereul kyeora                   (2002, Comedy, Drama                 Hang-jun Jang                 Seung-woo Kim, Seung-won Ch...]
Anno 2020 - I gladiatori del futuro (1982, Action, Sci-Fi                Joe D'Amato, George Eastman   Al Cliver, Harrison Muller,...]
There's a Girl in My Soup           (1970, Comedy, Romance               Roy Boulting                  Peter Sellers, Goldie Hawn,...]
Henri Henri                         (2014, Comedy, Drama                 Martin Talbot                 Victor Andres Turgeon-Trell...]
Hell Below Zero                     (1954, Action, Adventure, Drama      Mark Robson                   Alan Ladd, Joan Tetzel, Bas...]
Curly Sue                           (1991, Comedy, Drama, Family         John Hughes                   Jim Belushi, Kelly Lynch, A...]
Johnny Be Good                      (1988, Comedy, Sport                 Bud S. Smith                  Anthony Michael Hall, Rober...]
Hurok                               (2016, Crime, Sci-Fi, Thriller       Isti Madarász                 Dénes Száraz, Dorina Martin...]
The Perils of Pauline               (1967, Comedy                        Herbert B. Leonard, Joshua ...Pat Boone, Terry-Thomas, Pa...]
Thunder and Lightning               (1977, Action, Adventure, Comedy     Corey Allen                   Sterling Holloway, Patrick ...]
Les apprentis                       (1995, Comedy                        Pierre Salvadori              Marie Trintignant, François...]
The Small World of Sammy Lee        (1963, Drama                         Ken Hughes                    Anthony Newley, Julia Foste...]
Thirakkatha                         (2008, Drama, Romance                Renjith                       Priyamani, Prithviraj Sukum...]
The Man from Snowy River II         (1988, Adventure, Drama, Western     Geoff Burrowes                Tom Burlinson, Sigrid Thorn...]
Night of the Living Dead            (2014, Horror                        Chad Zuver                    Calhoun Koenig, Tessa Hawke...]
Good Will Hunting                   (1997, Drama, Romance                Gus Van Sant                  Matt Damon, Ben Affleck, St...]
K.G.F: Chapter 1                    (2018, Action, Drama                 Prashanth Neel                Yash, Srinidhi Shetty, Rama...]
El crimen de la calle de Bordadores (1946, Crime, Drama                  Edgar Neville                 Manuel Luna, Mary Delgado, ...]
Kiss the Blood Off My Hands         (1948, Crime, Drama, Film-Noir       Norman Foster                 Joan Fontaine, Burt Lancast...]
The Devil's Brother                 (1933, Comedy, Musical               Hal Roach, Charley Rogers     Dennis King, Thelma Todd, J...]
Avariya - doch menta                (1989, Drama                         Mikhail Tumanishvili          Oksana Arbuzova, Vladimir I...]
Alibi Ike                           (1935, Comedy, Romance, Sport        Ray Enright                   Joe E. Brown, Olivia de Hav...]
Cefurji raus!                       (2013, Comedy, Family                Goran Vojnovic                Benjamin Krnetic, Dino Hajd...]
Classmates                          (2015, Drama, Romance, Thriller      Aditya Sarpotdar              Siddharth Chandekar, Ankush...]
Major Dundee                        (1965, Adventure, War, Western       Sam Peckinpah                 Charlton Heston, Richard Ha...]
Long Day's Journey Into Night       (1962, Drama                         Sidney Lumet                  Katharine Hepburn, Ralph Ri...]
Low Low                             (2019, Drama                         Nick Richey                   Montana Roesch, Mike Capozz...]
Touch Me Not                        (2018, Drama                         Adina Pintilie                Laura Benson, Tómas Lemarqu...]
Generazione mille euro              (2009, Comedy                        Massimo Venier                Alessandro Tiberi, Valentin...]
Tito e gli alieni                   (2017, Comedy, Sci-Fi                Paola Randi                   Valerio Mastandrea, Clémenc...]
Just Say Love                       (2009, Drama, Romance                Bill Humphreys                Bill Humphreys, Matthew Jae...]
Summer of 84                        (2018, Drama, Horror, Mystery        François Simard, Anouk Whis...Graham Verchere, Judah Lewi...]
Zateryannyy v Sibiri                (1991, Drama, Romance                Aleksandr Mitta               Anthony Andrews, Vladimir I...]
Sansa                               (2003, Drama                         Siegfried                     Roschdy Zem, Ivry Gitlis, E...]
Sales gosses                        (2017, Comedy                        Frédéric Quiring              Thomas Solivérès, Tanya Lop...]
La encadenada                       (1975, Thriller                      Manuel Mur Oti                Marisa Mell, Richard Conte,...]
Tatal fantoma                       (2011, Drama, Romance                Lucian Georgescu              Marcel Iures, Barry Gifford...]
Blackbird                           (2019, Drama                         Roger Michell                 Kate Winslet, Sam Neill, Mi...]
Pixy Dragons                        (2019, Animation                     James Snider                  Todd Quills, Maria Petrano,...]
The Farmer's Daughter               (1947, Comedy, Drama, Romance        H.C. Potter                   Loretta Young, Joseph Cotte...]
Dear Lemon Lima                     (2009, Comedy                        Suzi Yoonessi                 Meaghan Martin, Shayne Topp...]
Haqeeqat                            (1995, Action, Drama, Romance        Kuku Kohli                    Ajay Devgn, Tabu, Aruna Ira...]
The Dynamiter                       (2011, Drama                         Matthew Gordon                William Ruffin, John Alex N...]
Webcam                              (2015, Comedy, Drama                 Sigurður Anton                Anna Hafþórsdóttir, Telma H...]
Cementerio General                  (2013, Horror                        Dorian Fernández-Moris        Jürgen Gömez, Marisol Aguir...]
Sekkusu hantâ: Sei kariudo          (1980, Drama                         Toshiharu Ikeda               Erina Miyai, Ayako Ôta, Rei...]
A Dog Year                          (2009, Comedy, Drama                 George LaVoo                  Jeff Bridges, Lauren Ambros...]
